year,stock_1,new,old,abs_diff
2015,baker_lake,1,1,0
2015,birkenhead,35,36,1
2015,blackwater,10,11,1
2015,blue_lead_ck,8,5,3
2015,bowron,6,4,2
2015,chilko,376,384,8
2015,chilko_south,19,19,0
2015,chilko-north,4,4,0
2015,chilliw_lake,1,1,0
2015,fennell,3,2,1
2015,forfar,3,1,2
2015,gates_cr,26,26,0
2015,gluskie,6,8,2
2015,horsefly,11,6,5
2015,l_adams,127,142,15
2015,l_horsefly,1,2,1
2015,l_shuswap,5,8,3
2015,little,20,7,13
2015,middle,19,32,13
2015,mitchell,29,64,35
2015,nahatlatch,2,2,0
2015,narrows,14,9,5
2015,nimpkish,19,21,2
2015,paula,5,14,9
2015,phillips,3,4,1
2015,pinchi_cr,23,24,1
2015,pitt,45,47,2
2015,portage_cr,16,16,0
2015,porter_cr,21,9,12
2015,quesnel_decept,17,13,4
2015,quesnel_horsef,45,66,21
2015,quesnel_mitche,65,36,29
2015,sakinaw,2,2,0
2015,scotch,49,53,4
2015,seymour,52,43,9
2015,stellako,19,17,2
2015,tachie,34,14,20
2015,thompson_n,21,16,5
2015,u_horsefly,24,13,11
2015,wasko_cr,6,5,1
2015,weaver,17,15,2
2015,woss_lake,15,12,3
2016,birkenhead,4,4,0
2016,blue_lead_ck,14,14,0
2016,chilko,205,177,28
2016,chilko-north,9,25,16
2016,dollyvarden_cr,2,1,1
2016,fennell,5,5,0
2016,gates_cr,1,1,0
2016,horsefly,41,73,32
2016,hudson_bay,4,4,0
2016,kynock,1,3,2
2016,l_adams,220,202,18
2016,l_shuswap,238,275,37
2016,little,30,47,17
2016,mckinley,32,11,21
2016,middleshuswap,154,118,36
2016,mitchell,29,28,1
2016,nadina,17,17,0
2016,nahatlatch,1,1,0
2016,nimpkish,18,18,0
2016,pitt,1,1,0
2016,quesnel_horsef,68,74,6
2016,quesnel_mitche,19,17,2
2016,roaring,6,7,1
2016,sakinaw,1,1,0
2016,scotch,82,76,6
2016,seymour,39,40,1
2016,stellako,22,18,4
2016,tachie,11,13,2
2016,weaver,1,1,0
2016,woss_lake,7,7,0
2017,birkenhead,4,6,2
2017,chilko,299,308,9
2017,chilko-north,13,3,10
2017,dollyvarden_cr,1,1,0
2017,gates_cr,11,11,0
2017,horsefly,17,17,0
2017,l_kwakwa_lake,3,3,0
2017,mitchell,2,1,1
2017,nadina,5,3,2
2017,nahatlatch,5,5,0
2017,nimpkish,8,11,3
2017,pitt,8,9,1
2017,quesnel_horsef,4,10,6
2017,seymour,7,18,11
2017,stellako,37,47,10
2017,thompson_n,11,15,4
2017,weaver,2,2,0
2017,woss_lake,14,11,3
2018,baker_lake,1,1,0
2018,birkenhead,16,16,0
2018,bowron,1,1,0
2018,chilko,87,87,0
2018,chilko_south,4,4,0
2018,cultus_lake,3,3,0
2018,dollyvarden_cr,3,3,0
2018,forfar,1,1,0
2018,gates_cr,3,3,0
2018,little,2,2,0
2018,nadina,19,19,0
2018,pinchi_cr,10,10,0
2018,pitt,14,14,0
2018,raft,5,5,0
2018,sakinaw,1,1,0
2018,stellako,14,14,0
2018,swan_kispox,1,1,0
2018,thompson_n,8,8,0
2019,birkenhead,9,9,0
2019,bowron,2,2,0
2019,chilko,272,272,0
2019,dust,1,1,0
2019,gates_cr,10,10,0
2019,kuzkwa_cr,11,11,0
2019,kynock,1,1,0
2019,l_adams,8,8,0
2019,little,3,3,0
2019,mitchell,6,6,0
2019,nahatlatch,1,1,0
2019,pinchi_cr,1,1,0
2019,portage_cr,7,7,0
2019,quesnel_horsef,15,15,0
2019,quesnel_mitche,7,7,0
2019,roaring,2,2,0
2019,scotch,5,5,0
2019,seymour,1,1,0
2019,stellako,9,9,0
2019,tachie,32,32,0
2019,thompson_n,12,12,0
2019,weaver,16,16,0
